author_id,perplexity,x,y,forget_class,kmeans_cluster
109,5,-7.728714,10.731765,retain (0–179),3
110,5,-14.106242,32.614437,retain (0–179),0
111,5,-4.219301,10.007769,retain (0–179),1
112,5,10.040286,-14.358367,retain (0–179),2
113,5,15.192315,-8.413367,retain (0–179),4
114,5,18.660576,-27.160839,retain (0–179),2
115,5,-10.267461,8.396908,retain (0–179),0
116,5,-4.142872,23.551176,retain (0–179),2
117,5,-33.511650,-26.323795,retain (0–179),4
118,5,-0.693418,39.164501,retain (0–179),5
119,5,-24.547949,-15.214546,retain (0–179),3
120,5,-13.371919,-3.350662,retain (0–179),2
121,5,-0.259347,24.665562,retain (0–179),2
122,5,-12.076222,-35.071941,retain (0–179),0
123,5,-13.946289,-15.857359,retain (0–179),1
124,5,-11.170321,-12.880600,retain (0–179),3
125,5,-17.761488,-3.514021,retain (0–179),1
126,5,10.101503,14.464450,retain (0–179),0
127,5,-14.179736,-39.050537,retain (0–179),5
128,5,-0.182819,21.589960,retain (0–179),1
129,5,-8.214658,-6.821461,retain (0–179),0
130,5,-4.474469,5.381686,retain (0–179),3
131,5,15.652035,23.947660,retain (0–179),4
132,5,19.693203,24.556297,retain (0–179),2
133,5,-6.063996,22.817673,retain (0–179),3
134,5,18.477926,-19.581320,retain (0–179),2
135,5,-9.199813,-22.689186,retain (0–179),0
136,5,1.809399,15.231980,retain (0–179),0
137,5,-13.452940,-35.567303,retain (0–179),0
138,5,25.774323,30.839731,retain (0–179),3
139,5,6.402632,32.090122,retain (0–179),2
140,5,-10.628847,-20.609919,retain (0–179),1
141,5,-12.524077,-21.868402,retain (0–179),0
142,5,11.056053,21.388451,retain (0–179),1
143,5,-3.514988,-22.290983,retain (0–179),0
144,5,-6.342196,11.953197,retain (0–179),1
145,5,-4.530089,28.276930,retain (0–179),4
146,5,2.095305,41.362591,retain (0–179),2
147,5,14.558743,-27.198444,retain (0–179),2
148,5,3.022302,42.235012,retain (0–179),3
149,5,17.060553,16.946161,retain (0–179),0
150,5,-32.817982,-29.265194,retain (0–179),5
151,5,17.632374,-7.739887,retain (0–179),2
152,5,1.711408,-8.935027,retain (0–179),1
153,5,-29.983879,7.244772,retain (0–179),2
154,5,-14.762328,-18.431139,retain (0–179),2
155,5,-1.398031,3.448190,retain (0–179),3
156,5,1.756634,13.016887,retain (0–179),2
157,5,14.321488,-2.336773,retain (0–179),3
158,5,16.767313,-27.241367,retain (0–179),0
159,5,13.397571,0.576335,retain (0–179),1
160,5,-17.906683,-18.554516,retain (0–179),4
161,5,27.324593,-15.237220,retain (0–179),2
162,5,36.004772,9.051370,retain (0–179),0
163,5,-22.868999,-16.552868,retain (0–179),3
164,5,7.810649,-16.436575,retain (0–179),1
165,5,28.521162,27.102184,retain (0–179),2
166,5,19.866032,4.843917,retain (0–179),0
167,5,-10.377880,-33.427605,retain (0–179),1
168,5,-3.233508,-36.360943,retain (0–179),2
169,5,17.429888,11.468965,retain (0–179),0
170,5,-3.382200,36.652214,retain (0–179),5
171,5,-5.525595,-6.668571,retain (0–179),1
172,5,6.181424,5.652542,retain (0–179),4
173,5,-20.355129,8.594982,retain (0–179),4
174,5,-19.295202,-17.456470,retain (0–179),4
175,5,19.988110,-10.207157,retain (0–179),1
176,5,14.959060,8.984070,retain (0–179),5
177,5,-21.628408,5.788165,retain (0–179),0
178,5,37.616512,8.525914,retain (0–179),0
179,5,-13.500804,-24.830280,retain (0–179),2
180,5,-17.206156,-32.884354,forget10∖05 (180–189),4
181,5,6.165104,29.217896,forget10∖05 (180–189),2
182,5,21.795290,19.203337,forget10∖05 (180–189),2
183,5,-2.450282,21.949572,forget10∖05 (180–189),0
184,5,24.242693,19.770315,forget10∖05 (180–189),1
185,5,-31.830278,-14.031143,forget10∖05 (180–189),0
186,5,15.495667,22.229807,forget10∖05 (180–189),4
187,5,-11.798367,6.176083,forget10∖05 (180–189),5
188,5,25.738615,33.131081,forget10∖05 (180–189),4
189,5,26.300282,28.358191,forget10∖05 (180–189),4
190,5,-11.186727,-23.294260,forget05∖01 (190–197),0
191,5,25.497065,0.376960,forget05∖01 (190–197),4
192,5,28.395332,-7.860305,forget05∖01 (190–197),1
193,5,-33.557724,-24.817352,forget05∖01 (190–197),0
194,5,-12.800964,-13.279335,forget05∖01 (190–197),5
195,5,11.449851,-1.888286,forget05∖01 (190–197),0
196,5,-3.721480,30.082527,forget05∖01 (190–197),0
197,5,20.437614,-6.446666,forget05∖01 (190–197),1
198,5,12.055712,11.693488,forget01 (198–199),0
199,5,31.844501,8.080192,forget01 (198–199),1
0,15,0.017435,0.543676,retain (0–179),1
1,15,5.719507,1.745409,retain (0–179),0
2,15,-3.380499,4.068514,retain (0–179),2
3,15,2.280306,1.396374,retain (0–179),0
4,15,-0.403311,1.101219,retain (0–179),5
5,15,-2.480945,-0.336305,retain (0–179),3
6,15,1.960188,-1.593909,retain (0–179),1
7,15,1.830596,0.196976,retain (0–179),3
